sequence_name,frame_name,num_people,base_mean_transl_l2_m,seed_mean_transl_l2_m,refined_mean_transl_l2_m,base_max_transl_l2_m,seed_max_transl_l2_m,refined_max_transl_l2_m,refined_bad_people_gt_0p12m,refined_bad_people_gt_0p20m,refined_bad_people_gt_0p50m
20221013_3_250_batch01hand_orbit_bigOffice_seq_000045,seq_000045_0025,3,0.36032733155621416,1.0330308001074526,1.0342007821632757,0.5894264380137125,2.900693972905477,2.899457057317098,2,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000107,seq_000107_0055,3,0.47449409051073926,0.5577368057436414,0.5372409084811807,1.0380385965108871,1.4557850609223049,1.451042726635933,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000168,seq_000168_0000,3,0.18178425232569376,0.44641607503096264,0.4464161569873492,0.3036613464355469,1.1808661222457886,1.1808662414550781,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000015,seq_000015_0120,3,0.7595444718996683,0.40758120889465016,0.41152268027265865,0.8978517651557922,1.1186885833740234,1.1369216442108154,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000015,seq_000015_0125,3,0.8290931185086569,0.39774907659739256,0.40250439879794914,0.9537059664726257,1.0973824262619019,1.1168763637542725,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000015,seq_000015_0130,3,0.8679408232371012,0.3932954842845599,0.39672940224409103,0.9543052315711975,0.9963546991348267,1.009463906288147,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000018,seq_000018_0080,3,0.3402762408642208,0.41856626990963436,0.40818745131586115,0.7054373271325055,0.9350915060323828,0.867051082498887,2,2,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000032,seq_000032_0165,3,0.6600515941778818,0.4151964330424865,0.4179864873488744,1.029818058013916,0.9482854604721069,0.8519701361656189,2,2,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000015,seq_000015_0115,3,0.6970025102297465,0.3112461802860101,0.30831331635514897,0.8476666808128357,0.815976619720459,0.8302473425865173,1,1,1
20221013_3_250_batch01hand_orbit_bigOffice_seq_000209,seq_000209_0140,3,0.5560668508211771,0.4036332691709201,0.388309462616841,0.8248746395111084,0.8187939524650574,0.8278281688690186,2,2,1
